id,campaigncoop,checksum,dropin,game,lancoop,offlinecoop,offlinecoopmax,offlinemax,onlinecoop,onlinecoopmax,onlinemax,platform,splitscreen,splitscreenonline
1928,True,7c950120-c94a-c9d3-8d86-3f9d5a30807d,True,4576,False,True,4,0,True,4,0,8,False,
10954,False,96e12f3d-289b-3a43-5810-c17a2362887e,False,49843,False,False,,2,False,,,24,False,
7957,False,98da5741-18c0-cad6-ba6d-8b5b97834c9c,False,82030,False,False,,,True,4,4,34,False,
1961,False,d4a72e9d-f3e6-9d5e-7dde-a6815a35aa43,True,401,False,True,2,0,False,0,0,5,False,
7961,False,ebe6ddb2-0e50-701d-a892-01b3e5c3b579,False,47312,False,False,,,False,,14,6,True,
11164,False,33dc3887-c9e7-abb7-a195-f07606f3809d,False,135468,False,False,,1,False,,,39,False,
5699,False,aa14aec2-66c1-2ab8-45aa-904897e5577f,False,27410,False,False,,,True,5,,34,False,
35,False,e6493450-2b9e-1db1-c79f-883a2f5ed4a4,False,51693,False,False,,,False,,,48,False,
9184,False,c850f71b-06b4-d6dd-40ea-76cd71eedf30,False,105443,False,False,,,True,,,6,False,
9968,False,b46d125b-a4ff-57a2-32f4-432795aface7,False,126468,False,False,,2,False,,,,False,
1969,False,15e78ee5-5c3b-befd-87e5-b3e3cb2bdd53,False,2637,False,True,4,0,False,0,0,5,False,
1983,False,8ea532aa-d929-2fbe-fd52-c3011bce2485,False,5300,False,True,3,0,True,2,0,9,False,
1864,True,bff92077-3799-13be-b123-c52bfd5b9344,False,7170,False,True,2,0,False,0,0,8,False,
10986,False,fb27036f-de8f-bd77-4e88-1ce53bcbaf1d,False,5168,False,False,,4,False,,,5,True,
11351,False,a7fbe6fc-b34a-53c2-c54c-0927cf969dd0,False,44664,False,False,,,False,,8,9,False,
11471,False,87fb1ea0-7cc4-ffbd-1b17-588b03af4bfe,True,38531,False,True,,2,False,,,,False,
11469,False,4c5c35ff-5274-6ee8-5b10-3bed90352e88,False,15350,False,False,,3,False,,,16,False,
11470,False,02526d1c-8f8c-2be9-2019-46b7f7b25ab7,False,15350,False,False,,3,False,,,63,False,
11597,True,d1220f77-52b6-3273-1651-ec3fca5f0090,True,137311,False,True,2,,False,,,,True,
2024,False,a993568f-0307-1d90-b70c-a1dc82165461,False,20765,True,False,0,0,False,0,0,20,False,
2045,True,6d59d95e-45f2-a231-daae-51effe5b35a0,False,17463,True,False,0,0,False,0,0,20,False,
521,True,fdf0abc1-136f-121e-8d97-98d254c4ca01,True,984,True,False,0,0,True,4,0,9,False,
10648,False,23085e8e-d8eb-fb42-91cf-5fca8146e67e,False,12268,False,False,,8,False,,,15,False,
10360,False,9bae86aa-ed3c-5b8a-d13d-ca2f40f043ef,False,132152,False,True,2,2,False,,,130,True,
531,False,169c879b-3b84-5e63-51e7-9310fb5897cd,False,6043,False,True,2,0,False,0,0,11,True,
10212,False,d7e97582-9291-19de-2bcf-b16a66a8c154,False,98010,False,False,,,True,,4,82,False,
7364,False,883dd763-b732-cd06-d138-898f02fac31b,False,2596,False,False,,,False,,,,False,
10957,False,9774e11e-94b0-1b1b-d2a2-8c7a0d6bff4b,False,69158,False,False,,4,False,,,21,True,
7365,False,1c2dfca2-6ee8-b54e-b243-05ffb0c646bc,False,2617,False,False,,,False,,,,False,
10374,True,b4f0c7a6-1eac-0d90-cffe-12844d01cade,False,27436,False,True,2,2,False,,,6,True,
542,False,9f6ae425-33de-b15a-7e07-096a30f87f11,True,16253,False,False,0,0,True,5,0,6,False,
10544,False,c639b59e-e5fb-5b4c-2668-662616fd868a,False,107547,False,False,,,False,,,34,False,
518,True,c6c639c0-84ad-ac49-1310-33fd1780e475,True,2142,False,True,2,0,False,0,0,8,True,
9552,False,348afed5-173a-d371-c6f5-bec84ad7ad3c,False,118756,False,False,,,False,,,34,False,
9585,True,e2c0eddf-e9c5-2187-33cc-fa5e70e47b78,False,26166,False,False,,,True,4,,48,False,
7976,False,08a7ccc6-c590-7e9e-bd9d-6be836dba2d4,False,26370,False,False,0,2,False,0,0,49,False,
10591,False,f52dd714-8752-24b2-ee60-424dc360f785,False,134094,False,False,,2,False,,,3,True,
596,True,574f98ca-ea73-22ae-74b7-72a6dbb2077f,False,6250,False,True,3,0,True,3,0,6,True,
10844,False,b8b4d496-6104-7abe-e027-1b1f4c352363,True,6710,False,False,,2,False,,,52,False,
7707,False,8133900c-1438-a1aa-824b-f8050cdacc4c,False,2583,False,False,0,0,True,4,0,46,False,
10714,False,04144ed9-32c9-1122-a1c7-394f78ffc3aa,True,8246,False,False,,2,False,,,7,False,
7697,True,5935dff4-8074-e196-66f0-391608805621,True,51673,False,False,0,0,True,3,0,39,False,
42,False,0ad7ce1a-a55e-912d-42a8-c62ca0d4692c,False,51999,False,False,,,True,,,39,False,
4831,False,a339e1d1-427e-ea31-5a49-a997a9a36591,True,34609,False,True,6,0,False,0,0,6,False,
1897,False,994fad00-2938-17b8-4e76-fdadf416418b,False,6414,False,False,0,0,True,15,0,6,False,
9218,True,c559693c-19cb-c0d9-93ec-a31bdb0c02d3,True,5819,True,True,4,4,True,4,4,11,True,
2011,False,45b2e3be-60fe-f4c2-6755-873cf9b5c2ce,True,434,True,False,0,0,True,8,0,12,False,
2012,True,60b45eb9-1aef-f1b2-48ef-1d69967205c5,True,13181,False,False,0,0,True,4,0,12,False,
2013,True,c7380a13-2e3d-c5a4-13e7-9bece2e2e896,True,13181,True,False,0,0,True,16,0,6,False,
10392,False,c0559717-8c8e-01ed-957e-9fe865c9bae9,False,16538,False,True,4,4,False,0,0,6,False,
548,True,391cc134-83e1-a4d0-df4c-90508075b552,False,5584,False,True,2,0,True,6,0,9,True,
551,True,9332520d-9ee8-935f-c69c-e71a39d06fb4,False,19256,True,False,0,0,True,4,0,38,False,
1903,False,d703c441-9ce1-db3e-503a-27569d05d4c2,False,7111,False,True,2,0,False,0,0,9,False,
605,False,20ebc54d-ed52-8b91-87c4-5507c56bf0f3,False,7459,False,False,0,0,True,5,0,9,False,
4804,True,5fccf2d8-e589-0a6f-fc74-8fe33c17d9b4,True,2050,False,True,2,0,False,0,0,12,False,
11352,False,2899009c-efd1-0389-8f69-7aec14059271,False,118907,False,False,,,False,,8,9,False,
11350,False,a34ec435-b0c1-93e3-7281-e0569d517545,False,1291,False,False,0,0,False,,8,9,False,
11465,False,537d1844-8007-5246-4b25-5efa35c27d17,False,3492,False,False,,4,False,,,21,True,
11596,True,7a465158-7290-2a2a-2431-6549209bae16,True,137309,False,True,2,,False,,,,True,
